chr	bp	p
3	49752372	3.9e-11
3	49758764	4.5e-11
3	49762662	4.6e-11
3	49763338	4.6e-11
3	49770032	3.6e-11
3	49772375	4.7e-11
3	49776178	4.5e-11
3	49792023	4.4e-11
3	49792158	4.7e-11
3	49807085	4.7e-11
3	49808981	5.6e-11
3	49832261	4.7e-11
3	49836707	2.8e-08
3	49842625	4.4e-11
3	49847623	9e-11
3	49868842	3.5e-11
3	49869158	3.6e-11
3	49878113	4.1e-11
3	49878652	5.6e-11
3	49884913	7e-11
3	49890613	1.2e-11
3	49897830	1.3e-10
3	49898000	2.1e-10
3	49898273	2e-10
3	49899795	3.7e-07
3	49902160	4.5e-07
3	49908023	1.5e-06
3	49914397	4.3e-06
3	49924424	6.1e-10
3	49924940	5.5e-10
3	49936102	1.4e-09
3	49937505	8.6e-07
3	49941436	1.6e-09
3	49948728	9e-07
3	49949071	9.5e-07
3	49956628	8e-07
3	49961780	8.2e-07
3	49968572	3.8e-08
3	49971514	1.7e-08
3	49975334	3.7e-08
3	49978069	3.6e-08
3	49987475	0.0019
3	49995518	6.8e-08
3	49997963	5.9e-08
3	49998282	6.3e-08
3	50002245	6.2e-08
3	50004209	1.1e-07
3	50022292	9e-08
3	50028385	8.1e-08
3	50032008	9e-06
3	50033228	8.7e-06
3	50035542	7e-08
3	50039474	7.8e-08
3	50041313	2.3e-07
3	50059339	7.3e-08
3	50069452	6.8e-08
3	50078541	8.2e-08
3	50080439	7.3e-08
3	50082914	7.5e-07
3	50093209	8.8e-06
3	50108792	9.6e-06
3	50113034	6.5e-09
3	50114515	9.5e-07
3	50125996	5.4e-09
3	50126215	8.5e-07
3	50128386	5.3e-09
3	50128893	6.2e-09
3	50129399	5.7e-09
3	50144951	7.3e-07
3	50155468	7e-07
3	50158191	6.8e-07
3	50158774	8.2e-07
3	50174886	0.00055
3	50495487	0.044
3	51106244	0.029
3	52650348	0.21
3	53118204	3.4e-05
3	53125469	2.7e-05
3	53134098	2.3e-07
3	53139506	1.5e-07
3	53140603	5.9e-07
3	53143901	7e-06
3	53144363	6.8e-06
3	53148455	3.5e-06
3	53156065	2e-06
3	53160132	2.8e-06
3	53164803	4.1e-06
3	53165194	4e-06
3	53165263	4.5e-06
3	53170500	6.6e-06
3	55047412	0.0013
3	55717324	0.77
3	56669148	0.0024
3	56740101	0.00037
3	56771251	3e-05
3	56776908	5.2e-05
3	56780003	9.8e-05
3	59589241	0.045
3	59759505	0.28
3	59978703	0.011
3	61635594	0.042
3	62400329	0.0001
3	62750973	0.025
3	63563882	0.00082
3	64113795	0.00063
3	64315464	0.18
3	65122313	0.67
3	65584681	6.4e-05
3	65587758	0.00012
3	65687823	0.013
3	65688520	0.00032
3	68155766	0.0022
3	69715453	0.076
3	70246225	0.28
3	70353324	0.00017
3	70374190	0.0005
3	71191350	0.004
3	71200872	0.89
3	72151732	0.013
3	73173916	0.047
3	73633327	0.027
3	77383456	0.0015
3	77503574	0.34
3	78107128	0.0015
3	78495795	0.1
3	79931990	0.012
3	81165761	0.033
3	82627967	0.0032
3	84970988	0.44
3	85265011	0.34
3	85629183	0.96
3	87269557	0.0036
3	88296807	0.032
3	88869869	0.12
3	89498428	0.0078
3	98310966	0.49
3	98952443	0.012
3	99105955	0.095
3	99679461	0.029
3	99795507	0.17
3	100244825	0.0049
3	101106527	0.00087
3	101289589	0.0005
3	103266476	0.041
3	103428035	0.14
3	106379000	0.069
3	107091320	0.014
3	107246785	4.2e-05
3	107268609	0.0027
3	107295392	3.1e-05
3	107708956	0.62
3	109765649	0.031
3	110192421	0.064
3	112077457	0.0014
3	112170372	0.0019
3	113472434	0.65
3	113731287	0.00012
3	113795834	4.3e-05
3	113823245	1.2e-05
3	113858201	0.00062
3	114889454	0.013
3	116168669	0.23
3	116716285	0.0019
3	116753325	0.039
3	116755540	0.0016
3	117084425	0.092
3	118624631	0.97
3	120201569	0.22
3	122822294	0.012
3	125002175	0.0064
3	125029761	0.0047
3	126819162	0.025
3	128276748	0.47
3	129002120	0.33
3	131537596	0.089
3	132192129	6.5e-06
3	132232323	0.0034
3	132361596	3.8e-06
3	132494447	1.6e-05
3	132502340	0.00028
3	132541855	5.8e-06
3	132544047	6e-06
3	132548999	6e-05
3	133392191	0.12
3	134705012	0.3
3	136881627	0.00091
3	136938812	0.007
3	137579508	0.86
3	138885305	0.033
3	139696916	0.015
3	140176233	0.00083
3	141140968	0.00035
3	142132749	0.98
3	142160032	0.14
3	145256049	0.064
3	147090343	0.014
3	147180677	0.0022
3	147745545	0.00071
3	147755033	0.00051
3	147774140	0.00027
3	148602499	0.28
3	150083011	0.77
3	152324110	0.1
3	152392008	0.041
3	152454853	0.014
3	152475755	0.0022
3	155180174	0.0036
3	155181380	0.0074
3	155324210	0.31
3	158094357	0.66
3	160253263	0.001
3	161499680	0.031
3	161657384	0.00028
3	161666875	1.8e-05
3	162082729	0.1
3	165500235	0.61
3	165577307	0.21
3	166528151	0.011
3	168560268	0.1
3	169623841	0.015
3	169807839	0.005
3	171504729	2.6e-05
3	173480707	0.58
3	173589209	0.22
3	173742840	0.077
3	174420162	0.0042
3	177351845	0.00022
3	177408279	0.0011
3	177461731	0.031
3	177636693	0.00046
3	177694171	0.013
3	179016126	0.0011
3	179040177	2.8e-05
3	179106847	0.0022
3	179108917	1.2e-05
3	179125585	3.3e-05
3	179156647	0.00013
3	182194305	0.98
3	183307476	0.00059
3	184188338	0.11
3	184875596	0.15
3	184897801	0.0091
3	185621520	0.029
3	186208478	0.76
3	186501648	0.0066
3	186656445	0.027
3	188055662	0.0025
3	188400239	6.9e-05
3	188400858	1.8e-05
3	188403035	0.00012
3	188413119	0.00037
3	188426256	0.00038
3	188429782	0.00081
3	191413314	0.075
3	191567889	0.31
3	193752079	0.18
3	194720053	0.0048
3	194914770	0.034
3	195966258	0.00028
3	196007493	0.0014
3	196010434	0.0014
3	196616249	0.76
3	197234673	0.0093
3	197631168	0.092
4	756686	8.7e-05
4	771587	4.6e-05
4	1315619	0.0047
4	3278517	0.012
4	3444503	4.8e-05
4	3647113	0.26
4	4190942	0.46
4	4625292	0.036
4	4792249	0.059
4	7084835	0.00036
4	7496857	0.00082
4	9925526	0.024
4	10986738	0.12
4	11459738	0.00047
4	11601925	0.28
4	12541613	0.0016
4	12670362	0.0082
4	13055737	0.94
4	13861249	0.0028
4	15689632	0.26
4	16104248	0.00077
4	16106738	0.013
4	16164230	0.11
4	16778287	2.3e-05
4	17051721	0.0019
4	17072550	0.00025
4	18195861	2.6e-05
4	19992481	0.02
4	22303196	0.44
4	23311156	0.081
4	23404364	0.001
4	23708557	0.17
4	25310060	0.00021
4	25407804	0.00035
4	26132361	6.4e-06
4	27314726	0.0053
4	28261658	0.005
4	29991980	0.029
4	30412195	0.78
4	32878002	0.28
4	34575785	0.00031
4	34685598	0.00017
4	35539276	0.039
4	35911736	0.93
4	36127702	0.0028
4	37996827	0.0064
4	38335823	0.0011
4	38354300	0.00017
4	38521490	0.091
4	39428176	6.5e-06
4	39430969	6.4e-06
4	39452944	0.00059
4	39453730	1.7e-06
4	39455378	1.7e-06
4	39455742	7.9e-05
4	39482684	5.7e-06
4	39483115	6.2e-06
4	39486593	6.7e-06
4	40054818	0.25
4	40303633	0.00098
4	40305745	0.0023
4	42050458	0.07
4	42141388	0.01
4	43164276	0.99
4	44308547	0.022
4	47722869	0.19
4	48139752	0.0014
4	48156135	0.0027
4	48199814	0.027
4	48261173	0.00064
4	48325715	0.0071
4	52935445	0.64
4	53139635	0.057
4	54542666	0.04
4	54706523	0.0054
4	56326707	0.0018
4	56519876	0.00058
4	58130068	0.0019
4	58851934	0.16
4	59208179	5.5e-05
4	59661775	0.055
4	60697479	0.98
4	62748384	0.046
4	63361327	0.00059
4	63366728	0.00044
4	63372524	0.0018
4	63913723	0.032
4	66925673	0.0051
4	68191194	0.37
4	68801350	0.27
4	69595144	0.011
4	73752329	0.49
4	73937533	0.072
4	75933273	0.011
4	76788268	0.023
4	76823225	0.00058
4	77127771	0.28
4	77409945	0.0017
4	77413179	0.0019
4	77649374	0.1
4	78115334	0.33
4	79112544	0.0047
4	79157386	0.034
4	81603028	0.0015
4	82118352	0.00018
4	82187030	0.014
4	83566333	0.93
4	85641001	0.48
4	86650631	0.00047
4	86688061	9.6e-05
4	87247317	0.038
4	87252797	6.5e-05
4	88680835	0.21
4	89236735	0.092
4	89798954	0.0013
4	90390887	0.013
4	90395312	0.0042
4	95110113	0.014
4	95185854	0.092
4	95192461	0.0017
4	95292702	0.00059
4	96031577	0.0041
4	96076813	0.021
4	100305393	0.86
4	100712656	0.34
4	101524488	0.44
4	101958617	0.091
4	103137879	0.0045
4	103144890	5e-05
4	103190128	1e-05
4	103191787	1.2e-05
4	103200577	0.0004
4	103206555	6.7e-06
4	103212512	6.2e-06
4	105515047	0.022
4	106071064	6.7e-05
4	106087217	0.0002
4	106106353	5.4e-05
4	106155751	0.21
4	106185456	0.0013
4	106466128	0.0091
4	109290374	0.028
4	111126874	0.00035
4	111132434	0.0034
4	111143870	0.011
4	111182452	0.0007
4	112172938	0.44
4	113175742	0.00046
4	113251665	0.047
4	114425934	0.19
4	116726594	0.29
4	117056932	0.043
4	119892879	0.0073
4	120488703	0.018
4	120770947	0.95
4	122599249	0.0011
4	122909415	0.00059
4	123115502	7.2e-05
4	123316076	8.5e-05
4	123336918	2.2e-05
4	123396028	7.8e-05
4	123499745	3.7e-05
4	123506056	0.002
4	123509421	2.6e-05
4	124021491	0.0045
4	124127581	0.025
4	124673938	0.1
4	126986023	0.014
4	128761940	0.69
4	130562875	0.0012
4	131021084	0.26
4	132221147	0.0058
4	132226965	0.0018
4	132268629	0.0041
4	132688307	0.0012
4	133621672	0.29
4	134620098	0.5
4	135733891	0.11
4	136023558	0.041
4	139692813	0.0032
4	139876023	0.03
4	141825374	0.75
4	142273090	0.00099
4	143098083	0.014
4	143509994	0.15
4	145431497	0.09
4	147960158	0.01
4	149148578	0.0029
4	149297675	0.0018
4	150678416	0.32
4	150818662	0.066
4	152351160	0.041
4	153352795	0.76
4	153558074	0.00027
4	153559023	0.00022
4	153562754	0.00027
4	155811101	0.21
4	156276648	0.036
4	156290032	0.0005
4	156644655	0.008
4	156753174	2.7e-05
4	156810755	1e-05
4	156822467	9.5e-06
4	157765129	0.5
4	161249029	0.11
4	161355449	0.00097
4	162202272	0.0042
4	163245174	0.063
4	166072693	0.0018
4	167150200	0.17
4	169439280	0.46
4	169603230	0.0022
4	169850155	0.031
4	169934459	0.013
4	174315913	0.022
4	174852035	0.0067
4	175361437	0.33
4	175663821	0.0039
4	175948807	0.51
4	177226828	0.097
4	180608623	0.00052
4	180624051	0.25
4	180879463	0.12
4	181432992	0.89
4	183412634	0.0017
4	183428859	0.033
4	184686219	0.012
4	184894052	0.0026
4	186204090	0.029
4	186512433	0.09
4	187083516	0.0051
4	187131504	0.0079
4	187210620	0.00021
4	188157759	0.0013
4	188853241	0.00028
4	189402769	0.46
4	190034291	0.13
5	152290	0.042
5	1200573	0.0012
5	2358381	0.0023
5	2866892	0.014
5	4727657	0.36
5	6381817	0.00096
5	6383710	0.091
5	6760499	0.3
5	10113778	0.012
5	10689562	0.00013
5	10695526	0.00019
5	10734772	0.00029
5	10759514	0.00065
5	11124555	0.034
5	11131057	0.12
5	12164918	0.0028
5	13677225	0.74
5	14815699	0.13
5	15925573	0.12
5	16373583	0.00087
5	16384646	0.00097
5	17167535	0.15
5	18378393	0.019
5	18662625	0.011
5	19063474	0.92
5	22533473	0.0041
5	23872046	0.012
5	23884229	0.0035
5	24183924	0.29
5	25126829	0.85
5	25463696	0.00025
5	25750878	0.00096
5	25912113	0.024
5	30805353	0.1
5	31064961	0.035
5	34742531	0.24
5	35739960	0.0096
5	37695743	0.54
5	37782403	0.00093
5	37829319	0.0048
5	38737883	0.098
5	40014359	0.00046
5	40217845	3.2e-06
5	40236648	2.7e-07
5	40237018	1.8e-07
5	40238857	1.5e-07
5	40243264	1.1e-07
5	40243624	1e-07
5	40251657	1.5e-07
5	40258578	5.8e-07
5	40274708	1.2e-07
5	40275694	1.5e-07
5	40278849	1.3e-07
5	40279411	1.7e-07
5	40286679	4.3e-07
5	40286967	1.5e-07
5	40288878	4.8e-11
5	40293104	9.7e-11
5	40306777	8e-09
5	40309999	1.1e-25
5	40318639	5e-11
5	40320006	2.2e-29
5	40321158	2.5e-10
5	40323938	2.1e-31
5	40324532	1.5e-11
5	40347259	4e-14
5	40361676	2.8e-14
5	40372223	3.5e-18
5	40375907	2.1e-14
5	40386555	5.4e-29
5	40389129	8e-12
5	40389852	7.6e-31
5	40392728	9.6e-31
5	40393605	2.9e-29
5	40394936	0.00086
5	40397352	4.4e-30
5	40397911	6.4e-30
5	40401509	3.1e-31
5	40410584	7e-36
5	40411291	8.7e-36
5	40427883	6e-05
5	40430118	1.7e-29
5	40431183	1.5e-34
5	40431664	1.5e-34
5	40437845	0.00018
5	40442869	5.5e-32
5	40445681	4.6e-32
5	40455074	1e-31
5	40459067	3.1e-31
5	40463739	5.2e-31
5	40477515	1.9e-31
5	40480187	1.8e-31
5	40481654	4.2e-13
5	40484938	4.5e-13
5	40486896	8.1e-30
5	40490609	1.7e-30
5	40490790	1.6e-30
5	40493646	6.9e-11
5	40497604	4.2e-22
5	40498577	4.2e-22
5	40507243	1.8e-21
5	40509655	3.8e-21
5	40510007	3.4e-21
5	40514752	3.8e-21
5	40515522	5.2e-21
5	40516017	3.8e-21
5	40517331	3.7e-21
5	40521648	2.2e-14
5	40521705	1.7e-15
5	40522212	3.8e-15
5	40528899	2.7e-14
5	40530886	7.8e-23
5	40540334	2.7e-07
5	40548545	2.7e-07
5	40552326	3.4e-07
5	40556327	1.7e-21
5	40559387	2.1e-07
5	40561358	1.8e-22
5	40567388	2.2e-13
5	40567715	2.6e-07
5	40570075	1.3e-13
5	40572443	6.5e-22
5	40573745	6.2e-09
5	40574256	5.4e-07
5	40585638	2.5e-09
5	40588364	4e-17
5	40597618	1.8e-09
5	40600917	3.5e-12
5	40602209	5.7e-12
5	40602600	1.2e-22
5	40606294	1.9e-22
5	40607868	7.3e-06
5	40607910	2e-22
5	40607998	1.1e-11
5	40611975	1.9e-11
5	40620793	2.5e-05
5	40622949	9.3e-22
5	40623053	2e-08
5	40626122	3.8e-08
5	40626753	5.4e-08
5	40674979	5.9e-08
5	40681254	8.8e-08
5	40712797	1.4e-10
5	40745746	5.9e-09
5	40748268	1.4e-10
5	40752536	1.9e-10
5	40767397	6e-09
5	40772190	8.5e-09
5	40781559	1.1e-08
5	40790551	5e-09
5	40791884	4.7e-09
5	40810426	1.2e-09
5	40829311	2.3e-08
5	40835627	2.2e-08
5	40839644	2.1e-09
5	40840221	5.2e-09
5	40842116	1.9e-09
5	41312164	0.077
5	41381167	0.002
5	41625566	0.03
5	41702341	0.013
5	44880288	0.32
5	45229673	0.38
5	50596784	0.072
5	52003669	2.1e-05
5	52011055	2.8e-05
5	52290434	0.7
5	53167028	0.3
5	53260757	0.013
5	53298025	0.038
5	53519724	0.00012
5	54199768	0.00012
5	54209918	0.0025
5	54241619	0.0014
5	54249529	0.00033
5	54250627	0.00044
5	54479016	0.51
5	54532144	0.087
5	55455645	7e-06
5	55567087	4.3e-06
5	57172078	0.0005
5	58571915	0.02
5	58711828	0.0042
5	58717453	0.18
5	59532164	0.00076
5	59552578	0.012
5	62020357	0.00011
5	62039643	0.00039
5	62042653	7.2e-05
5	62060735	0.0026
5	62067375	0.0018
5	63893290	0.096
5	63905068	0.00048
5	64732237	0.024
5	64881936	0.34
5	65455331	0.0065
5	67324941	0.77
5	71757894	0.014
5	72105641	0.00033
5	72113253	0.00036
5	72166483	8.3e-05
5	72358254	3.4e-05
5	72394095	0.0013
5	72441121	0.0021
5	72516084	1.2e-05
5	72551134	2e-06
5	73658348	0.77
5	75722669	0.18
5	75974119	0.033
5	77493085	0.11
5	78272942	0.06
5	78381689	0.62
5	79137556	0.0044
5	81946255	0.16
5	83173714	0.00027
5	83499643	0.013
5	83508667	0.0017
5	84620255	0.031
5	85468473	0.00062
5	87926055	0.013
5	88015545	0.018
5	89249834	0.0029
5	89467166	0.083
5	89995803	0.00092
5	92036916	1.0
5	92588936	0.13
5	94508215	0.087
5	94861118	0.016
5	95169909	0.3
5	95227507	0.0031
5	95241127	0.0017
5	95293412	0.0072
5	96204254	5.1e-06
5	96211741	9.8e-06
5	96213171	0.00033
5	96216387	0.00028
5	96225252	1.1e-07
5	96225774	1.1e-07
5	96229272	1e-06
5	96231000	5.8e-08
5	96232286	4.3e-08
5	96232806	3.5e-08
5	96237326	3.4e-08
5	96238401	3.4e-08
5	96244549	4.5e-11
5	96244585	3.5e-08
5	96244638	3.2e-08
5	96245343	2.5e-08
5	96245439	3.4e-08
5	96245518	3.7e-08
5	96249115	3.1e-08
5	96252803	4.6e-11
5	96268862	5e-08
5	96274223	3.6e-08
5	96279490	1.3e-10
5	96293006	1.2e-10
5	96293816	1.2e-10
5	96293929	1e-10
5	96320495	6.3e-11
5	96322419	1e-10
5	96334558	5.1e-11
5	96338505	5.4e-11
5	96339273	4.3e-08
5	96340616	2.8e-08
5	96345739	5.4e-11
5	96350088	8.1e-11
5	96352068	2.1e-08
5	96353684	1.3e-08
5	96363407	1.1e-10
5	96373750	1.1e-09
5	100114085	0.64
5	102831132	0.32
5	105355890	0.069
5	106230898	0.0011
5	106281106	0.66
5	106861892	0.00022
5	106861975	0.00048
5	107134120	0.0043
5	107943522	0.036
5	108351960	0.0056
5	110712773	0.34
5	110921349	0.0051
5	111413810	0.00039
5	111419303	0.0002
5	111667502	0.11
5	111848535	0.00077
5	113029914	0.83
5	114589908	0.015
5	114623745	0.00043
5	114643348	0.013
5	118074236	0.2
5	118241854	0.032
5	118276728	0.0039
5	118315744	0.0013
5	119064355	0.72
5	120101000	0.043
5	120253083	0.00058
5	120310535	0.00048
5	121267515	0.0098
5	128951428	0.072
5	129073197	0.00063
5	129149447	6.9e-06
5	129155460	7.5e-06
5	129180529	0.029
5	129208641	0.0058
5	129556946	8.3e-06
5	129720170	3.7e-06
5	129723516	4.4e-06
5	129759110	7e-06
5	129759493	4e-06
5	129792625	2.3e-06
5	129827344	3e-06
5	130022414	6.6e-06
5	130102023	1.4e-06
5	130104076	6.3e-07
5	130111154	8.5e-07
5	130130195	4.2e-06
5	130147567	7.9e-07
5	130149253	8.7e-07
5	130335755	0.00014
5	130414405	5.2e-06
5	130414806	5.4e-06
5	130419205	8.4e-06
5	130431005	3.7e-06
5	130446040	4.7e-06
5	130446419	4.7e-06
5	130475886	1.7e-06
5	130480191	1.5e-06
5	130497428	3.6e-06
5	130503286	2.7e-06
5	130541968	3.3e-05
5	130595408	3.1e-07
5	130613600	1.2e-12
5	130666121	0.68
5	130674076	1.5e-12
5	130692840	2.3e-07
5	130833946	1.5e-07
5	130857727	3.3e-08
5	131040552	1.1e-07
5	131286925	0.19
5	131315884	3.7e-07
5	131336105	1.3e-10
5	131336287	2.8e-06
5	131340231	2.5e-06
5	131341541	8.7e-12
5	131361778	2.3e-08
5	131371999	3.2e-10
5	131402738	5.6e-12
5	131407601	8.4e-12
5	131416061	2.4e-10
5	131420249	4.4e-13
5	131421694	1.2e-07
5	131423966	1.2e-08
5	131427161	8.9e-08
5	131432689	9.1e-09
5	131436896	6.7e-09
5	131437562	1.1e-08
5	131440620	0.0045
5	131447104	1.8e-06
5	131485383	2.8e-13
5	131530441	2.3e-13
5	131532634	1.8e-07
5	131534499	1.8e-13
5	131536753	1.6e-13
5	131536826	4.1e-07
5	131546280	5.6e-07
5	131546668	7.2e-07
5	131547271	3e-13
5	131567924	6.2e-13
5	131569627	2.9e-07
5	131573529	6.2e-13
5	131574748	0.0013
5	131577514	3e-10
5	131577894	2.6e-10
5	131580033	1.8e-10
5	131580152	1.5e-06
5	131580220	2.6e-10
5	131585958	3.3e-13
5	131586480	2.2e-10
5	131586598	5e-13
5	131590534	4.1e-08
5	131592870	2.4e-06
5	131595784	7.4e-07
5	131597392	7.1e-07
5	131602166	7.3e-07
5	131614981	4.3e-07
5	131615593	5.4e-06
5	131623358	3.2e-14
5	131626611	1.1e-10
5	131633355	1.2e-07
5	131651261	7.5e-06
5	131651811	9.3e-08
5	131652529	9.9e-16
5	131656517	1.1e-07
5	131656700	7.2e-07
5	131656997	1.4e-05
5	131661156	7.6e-08
5	131663062	7e-07
5	131665378	7.7e-07
5	131665840	1.2e-07
5	131667353	2.4e-06
5	131669264	9.1e-08
5	131674888	1.1e-07
5	131676320	1.7e-20
5	131677997	7.7e-07
5	131681057	1.1e-07
5	131686146	6.8e-16
5	131694077	5.3e-16
5	131699867	5.4e-07
5	131703776	5.6e-08
5	131714409	1.2e-06
5	131717050	2.4e-15
5	131719228	8.7e-07
5	131719450	8.4e-07
5	131720070	1.1e-07
5	131721174	1.1e-07
5	131721204	1e-07
5	131723065	2.5e-07
5	131723288	3.8e-12
5	131724950	4.6e-07
5	131725329	6.9e-19
5	131727033	6.6e-19
5	131727346	5.6e-07
5	131727680	5.6e-07
5	131728712	7e-08
5	131729118	7.7e-07
5	131730807	3.7e-07
5	131731304	4e-07
5	131732456	4.5e-08
5	131733397	2.9e-19
5	131741498	2.4e-07
5	131742228	4.6e-07
5	131743465	1.8e-08
5	131743777	1.2e-10
5	131752620	7.7e-11
5	131755969	3.2e-11
5	131770805	1.9e-20
5	131779760	1.6e-13
5	131779857	1.8e-13
5	131782444	3.1e-13
5	131784393	1.4e-20
5	131793772	3.2e-15
5	131794069	4e-15
5	131796922	3e-18
5	131801158	4.2e-14
5	131801947	2.6e-20
5	131804347	2.9e-20
5	131804507	6.6e-14
5	131808869	4.6e-17
5	131816903	3.5e-05
5	131819921	9.5e-12
5	131820275	5e-09
5	131820997	1.1e-18
5	131821246	6.6e-09
5	131821866	7.3e-09
5	131822072	8e-09
5	131822133	8e-09
5	131822224	8.4e-09
5	131829297	9.1e-09
5	131831058	1.4e-08
5	131835395	1.7e-08
5	131873073	0.00098
5	132131024	0.00013
5	132894196	0.057
5	132918549	0.00047
5	134830723	0.019
5	134907031	0.57
5	134999199	0.014
5	136345669	0.15
5	137016586	0.0025
5	140940596	0.0032
5	141025581	0.013
5	141467196	9.1e-05
5	141469000	7.3e-06
5	141479065	1.1e-09
5	141479833	1.1e-09
5	141490587	1.1e-08
5	141500436	9.5e-09
5	141508488	4.2e-09
5	141513204	1e-08
5	141513691	1.5e-08
5	141513854	1.3e-08
5	141523000	1.4e-08
5	141571636	4.4e-05
5	141583659	3.1e-05
5	142395016	0.17
5	142722353	0.064
5	144415298	0.0017
5	144493584	0.00037
5	146165938	0.017
5	147180483	0.83
5	147563477	0.18
5	147723247	0.38
5	147865882	0.038
5	150170609	4.4e-18
5	150182434	1.7e-15
5	150183063	8.7e-14
5	150184958	3.3e-14
5	150187805	2.3e-16
5	150228833	1.2e-16
5	150230950	1.8e-18
5	150233304	2.2e-16
5	150239471	1.8e-18
5	150239587	2.4e-17
5	150240076	3.4e-18
5	150249537	2.2e-17
5	150258867	2.6e-18
5	150259642	2.3e-18
5	150262142	2e-18
5	150264414	2.4e-18
5	150270420	7.8e-19
5	150278587	1.6e-16
5	150284808	2.3e-16
5	150321163	2.1e-05
5	150328866	2.7e-14
5	150330631	6e-14
5	150333698	6.4e-14
5	150350285	9.3e-06
5	150365022	4e-05
5	150387736	3.7e-05
5	150528099	0.0002
5	151495545	0.00011
5	151543790	0.00067
5	151548444	0.00064
5	151578349	0.0038
5	152367546	0.056
5	153087153	0.014
5	155744037	0.00073
5	156174011	0.011
5	156181309	0.022
5	156383422	2.1e-05
5	156398169	4.2e-05
5	156871778	0.88
5	156890897	0.24
5	158506134	0.0023
5	158523522	4.4e-07
5	158530015	7.2e-06
5	158560154	2e-06
5	158560842	2.1e-06
5	158683200	2.4e-06
5	158705370	2.3e-06
5	158706979	2.2e-06
5	158732772	4.5e-06
5	158742014	0.00015
5	158755845	7.7e-06
5	158772582	2.8e-11
5	158773779	0.00053
5	158784111	2.8e-11
5	158787385	5.4e-14
5	158819615	1.1e-13
5	158820844	1.3e-11
5	158824174	1.6e-11
5	158826792	6.1e-12
5	158839217	2.4e-09
5	158848071	2.7e-07
5	158849837	4.3e-10
5	158850513	9.4e-07
5	158880032	4.1e-11
5	158880527	5.1e-11
5	158881276	5.9e-11
5	158908227	2.3e-08
5	158918894	8.3e-07
5	158924083	6.4e-11
5	158931798	3.6e-09
5	158939065	4.6e-09
5	158944085	1e-08
5	160143940	0.088
5	162930747	0.022
5	162997018	0.0006
5	163820322	0.005
5	167397039	0.64
5	167537605	0.19
5	168539240	0.00022
5	169538788	0.014
5	169937406	0.001
5	169995101	0.059
5	170510416	0.32
5	171181837	0.071
5	172995003	1.0
5	173004206	0.031
5	173204210	0.0014
5	173267556	4.9e-07
5	173279842	5.2e-08
5	173288534	7.1e-07
5	173297883	0.0077
5	173349840	4e-05
5	174863690	0.0034
5	174867899	0.00013
5	174870902	0.00032
5	178455954	0.032
5	178514729	0.13
5	178622958	0.11
5	178674076	0.85
5	178900280	0.0089
5	178901458	0.0048
6	215423	0.00024
6	564145	0.023
6	585266	0.0047
6	1021471	0.16
6	1233229	0.12
6	3295297	0.00091
6	3417643	1e-05
6	3419149	1.9e-05
6	3420406	6.6e-06
6	3433318	6.2e-06
6	3434242	6.4e-06
6	3435112	0.00018
6	3450266	9.3e-05
6	4887253	0.014
6	7706004	0.92
6	9469238	0.85
6	9831493	0.035
6	11306153	0.089
6	11759376	0.0016
6	13234231	0.0047
6	13755516	0.27
6	13934527	0.0066
6	14647764	6.5e-05
6	14664991	0.00025
6	14665517	0.00036
6	14668457	8.9e-05
6	14716210	2.4e-05
6	16727712	0.039
6	17850142	0.64
6	18197563	0.34
6	19954987	0.0043
6	19972602	0.0054
6	20459673	0.00085
6	20488234	0.00043
6	20622753	8e-05
6	20623605	3.5e-06
6	20624034	2.9e-06
6	20624358	2.6e-06
6	20626409	2.6e-06
6	20657345	5.2e-08
6	20663335	4.1e-08
6	20689945	1.6e-08
6	20728731	1.4e-08
6	20743952	7.9e-07
6	20774759	3.1e-05
6	20790477	7.6e-06
6	20804563	3.3e-06
6	20811620	1.6e-07
6	20812588	6.4e-06
6	20813375	3.3e-07
6	20815260	3.1e-07
6	20821489	2.9e-08
6	20821662	3.4e-07
6	20825018	3.4e-07
6	20856703	1.9e-05
6	20873848	4.3e-06
6	20876613	7.4e-06
6	20881386	7.5e-06
6	20882175	4e-06
6	20882544	9.3e-06
6	20911003	4.9e-07
6	20920123	3.7e-07
6	20940761	7.9e-07
6	20954826	7.8e-07
6	20961061	1.2e-06
6	20994398	1.8e-06
6	20999387	4e-07
6	21034747	1.4e-06
6	21227771	0.1
6	21430728	2.7e-06
6	21439343	3.1e-06
6	21443902	2.7e-06
6	25842605	0.77
6	27171437	0.008
6	29575405	0.15
6	29611885	1.3e-05
6	29760677	0.043
6	29943490	4.9e-06
6	30075843	3.6e-06
6	30092707	1.3e-06
6	30101656	7e-06
6	30105743	7.2e-06
6	30131515	0.002
6	30234700	0.00063
6	30348674	0.036
6	30377198	2.8e-05
6	30411546	0.0017
6	30822771	0.00014
6	30850191	7.6e-06
6	30852747	7.8e-06
6	30855251	7.8e-06
6	30857542	7.2e-06
6	30857988	7.2e-06
6	30858254	7e-06
6	30858857	8.2e-06
6	30865115	8e-06
6	30867106	7e-06
6	30867666	7.7e-06
6	30868628	7.8e-06
6	30869714	7.6e-06
6	30870168	3.5e-06
6	30870763	3.2e-06
6	30875145	2.9e-06
6	30876034	3e-06
6	30876438	2.3e-06
6	30877202	2.9e-06
6	30878769	2.8e-06
6	30878919	2.7e-06
6	31014116	0.0051
6	31093776	8.9e-06
6	31169289	0.031
